ID,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
id0,,,-0.8717581233015732,,-0.23814421961268376,0.8841532629100762,0.06482621961462436,,,
id1,,1.4559007610481494,,,,0.8320545722355503,,,,
id2,0.462102124458608,,,,,,,0.46458074326204374,,
id4,,-0.17134498187774996,,,-0.06478764861661016,,,,,1.0
id5,1.4281513224432505,,,,,,,1.133704561444486,,
id6,,,-0.8493594540752842,1.6216529311104453,-0.7846582922072435,1.0986771281431387,0.5597852416282435,-0.013697779359056543,0.0,
id7,0.10217168312887075,0.6341864178395711,,,,,,1.9177046159402853,,
id8,0.49242611205829645,-0.3640294707894695,,,,,,0.7353190691525915,,
id9,-1.571500285211492,-1.5455639849747658,,,,,,-0.47199883803312703,,
id10,,0.0486689837652406,,,,,,1.9313493278238432,,
id11,,-0.043213421832172014,,,,-0.8421422143254106,,,,
id12,,-1.4112016420328446,,,-0.8336224370502465,,,,,1.0
id13,,,0.04722943464095912,,0.8924877618498658,-1.8223419603697821,-0.1888715732025032,,,
id14,-0.06346025336701627,,,,,,,,,0.0
id15,,0.33630792694183864,,,-0.6231103016004262,,,,,1.0
id16,-0.3498850546555581,,,,,,,1.7270774346904625,,
id17,0.0179755268666772,,,,,,,0.5139890807741402,,
id18,,,-0.1670951968716644,,-0.204210080904412,-0.5192542802908009,-0.2035001926409044,,,
id19,1.7574400206431249,0.21311771363155088,,,,,,,0.0,
id20,,1.8010379112612018,,,-0.9132358305995414,,,,,0.0
id21,,,0.7044773788546133,,1.3667389924055284,0.1232717542263953,0.8083618328599583,,,
id22,,-0.6064516100429364,,,,-0.14889865402256622,,,,
id23,,0.4163542739698257,,,1.3462504782471103,,,,,0.0
id24,,,-1.1284399058235934,0.8906483123259858,-1.3542479997361991,-1.421379295849619,0.13968759718022003,-0.7114328320668138,1.0,
id25,,0.6291439421878543,,,,1.8828963201106814,,,,
id26,0.7140093048558359,,,,,,,0.09959930432660669,,
id27,0.9288658649696412,0.16863614742077418,,,,,,,1.0,
id28,,0.8531129663222948,,,-1.5505302387770974,,,,,0.0
id29,0.5422975072092824,,,,,,,,,1.0
id30,,,0.20868353712654447,,-0.8013021152069859,-1.0643152682053922,0.4527326062431318,,,
id31,,1.7109059096730388,,,1.1400474264026084,,,,,1.0
id32,0.6530495729047717,0.1428843223516846,,,,,,,0.0,
id33,,,-0.6159241097264673,,0.3748283933304283,1.6485086976821515,-1.323710483377466,,,
id34,1.8608706652623948,,,,,,,-0.6633670793524734,,
id35,-0.008817995133639634,-0.6764483463502584,,,,,,,0.0,
id36,0.70252875201385,,,,,,,,,0.0
id37,,0.29689199094012425,,,,-0.4736151604624158,,,,
id38,0.11634037714020141,,,,,,,,,0.0
id39,,0.586107708973507,,,,0.557549936763847,,,,
id40,,-0.1420836913218174,,,,,,-1.096676169782647,,
id41,,1.1602363217152678,,,,0.3669351618875709,,,,
id42,,0.5225213178630963,,,-0.501111677190285,,,,,1.0
id44,,-0.8664125448681329,,,0.055426917713679844,,,,,1.0
id45,-0.23735816124569495,,,,,,,-0.7821774834737929,,
id46,,-1.641010972771771,,,,,,-0.5058572448412784,,
id47,,,-0.6806302279774289,0.08273027176078732,-1.8773400550086676,-0.1376617194088264,-0.1786086405935818,1.1210742150370165,0.0,
id48,0.27054694271678675,-0.2133111281714098,,,,,,,1.0,
id49,,,0.9582869888087702,,-0.4454752955421702,0.5429864005109901,1.1509109989675312,,,
id50,-0.9108351005798563,,,,,,,0.6745052799033499,,
id51,,1.2908043527974964,,,-0.26026209632102787,,,,,1.0
id52,1.1342284407416103,,,,,,,,,0.0
id53,,,0.013637748897926776,0.6322721101120077,-1.926790207741866,-0.4768937097296001,0.08683589432901596,0.5461122563171251,0.0,
id54,1.9125699316238671,,,,,,,-0.19768037735786517,,
id55,,1.5841911829273414,,,,0.13636279140224933,,,,
id56,,,-0.8445394510838875,,0.7406444511275021,1.520729614257,-0.49743380846222585,,,
id57,,0.08123496963520112,,,,,,-1.5516306797188792,,
id59,-0.7578166835446961,0.4592454428302837,,,,,,0.27775862421891234,,
id60,,1.6549126458193328,,,-0.33734935178126946,,,,,0.0
id61,-1.0341620996753431,,,,,,,-1.024901191630439,,
id62,-0.5949782368558375,,,,,,,0.008619317632141441,,
id63,,,-0.9830714204233949,,0.11445739720823975,-0.4691968554840372,-1.0061598221447605,,,
id64,-2.144581841556701,,,,,,,0.07713360452509647,,
id65,-0.7977608785159489,,,,,,,-1.895841752688858,,
id67,,0.7916593925439409,,,,-0.07179878357379854,,,,
id68,,0.27870007770210875,,,,-0.1381693364805323,,,,
id69,-0.0444685230504782,-0.3477250327165823,,,,,,1.4924938394868013,,
id70,1.471987112090081,,,,,,,1.3035502311494143,,
id71,-0.9368124705222425,,,,,,,,,1.0
id72,-0.617668143668897,0.7449136472559218,,,,,,0.022497230724494065,,
id73,,0.6679222323056864,,,0.39110886285526986,,,,,0.0
id75,,,0.22310610560513328,-2.282068895734935,1.4252915818901564,3.657279878535199,-3.1522179228880747,-1.2130970904130078,1.0,
id76,,,-0.2266728223142095,,-0.32840602350194215,-0.8887322383682641,0.008217605004701176,,,
id77,-1.120113668762507,1.2390907963420215,,,,,,,0.0,
id78,,0.340521081750431,,,,,,0.09595466819638483,,
id79,,,0.2011837114785412,,-0.13143323627001324,-0.2286921193815497,-0.21684376200279118,,,
id80,,,0.9539689062139146,0.2160182782907709,-0.5827883324571099,0.5080301278318572,-0.17237190238302072,1.7512841142223816,0.0,
id82,,-0.7853180427290406,,,,,,1.1160212604152926,,
id84,,,-1.1680823987333124,-0.21514334342557803,-0.7832398985538404,-0.14429716720664784,1.0749251496496621,1.2189625939700302,1.0,
id85,,,-0.16528784281188907,0.728175964255382,-0.13692934443199453,-2.1935406588520405,0.1820538081806329,0.5115515629413253,0.0,
id86,-0.047910852166677106,,,,,,,,,0.0
id87,-0.6196790828554147,,,,,,,2.0396964855666764,,
